,Origin,LicenceNumber,OperatorShortName,OperatingPeriodStartDate,DatasetID,FileName,dq_score,Status,Destination,URL,OperatorCode,OperatorName,RevisionNumber,ServiceCode,Description,TradingName,PublicUse,SchemaVersion,OperatingPeriodEndDate,dq_rag,FileType,bods_compliance,OperatingDays,LineName,Comment,NOC,expired service
45,Rawcliffe Bar,PB0001747,First York Limited,2023-12-31,2089,2_2A-FYA0002_YFAO002A--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Rawcliffe Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:13,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,2A,Automatically detected change in data set,FYOR,No End Date
46,"ASKHAM BAR, TESCO",PB0001747,First York Limited,2023-12-24,2089,200-YFAO200--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,"JAMES STREET, YORK",https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:52,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Saturday,200,Automatically detected change in data set,FYOR,No End Date
47,"ASKHAM BAR, TESCO",PB0001747,First York Limited,2023-12-31,2089,200-YFAO200--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,"JAMES STREET, YORK",https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:52,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Saturday,200,Automatically detected change in data set,FYOR,No End Date
48,Askham Bar,PB0001747,First York Limited,2023-12-24,2089,3-YFAO003--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Askham Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:14,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,3,Automatically detected change in data set,FYOR,No End Date
49,Askham Bar,PB0001747,First York Limited,2023-12-31,2089,3-YFAO003--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Askham Bar,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:14,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,3,Automatically detected change in data set,FYOR,No End Date
50,York Clifford Street,PB0001747,First York Limited,2023-12-24,2089,4-FYYO004--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Acomb,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:15,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,4,Automatically detected change in data set,FYOR,No End Date
51,York Clifford Street,PB0001747,First York Limited,2023-12-31,2089,4-FYYO004--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Acomb,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:15,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,4,Automatically detected change in data set,FYOR,No End Date
53,"Strensall, Brecks Lane",PB0001747,First York Limited,2023-12-24,2089,5_5A-YFAO005_YFAO005A--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Acomb The Green,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:16,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,5A,Automatically detected change in data set,FYOR,No End Date
54,"Strensall, Brecks Lane",PB0001747,First York Limited,2023-12-24,2089,5_5A-YFAO005_YFAO005A--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,Acomb The Green,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:16,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,5,Automatically detected change in data set,FYOR,No End Date
55,"Strensall, Brecks Lane",PB0001747,First York Limited,2023-12-31,2089,5_5A-YFAO005_YFAO005A--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Acomb The Green,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:16,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,5A,Automatically detected change in data set,FYOR,No End Date
56,"Strensall, Brecks Lane",PB0001747,First York Limited,2023-12-31,2089,5_5A-YFAO005_YFAO005A--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,Acomb The Green,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:16,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,5,Automatically detected change in data set,FYOR,No End Date
57,POPPLETON BAR PARK & RIDE SITE,PB0001747,First York Limited,2023-12-24,2089,59-(YFO059)--FYOR-York-2023-12-24-FYOR-2023-12-24_A-BODS_V1_1.xml,100.0,published,POPPLETON BAR PARK & RIDE SITE,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:50,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,59,Automatically detected change in data set,FYOR,No End Date
58,POPPLETON BAR PARK & RIDE SITE,PB0001747,First York Limited,2023-12-31,2089,59-(YFO059)--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,POPPLETON BAR PARK & RIDE SITE,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:50,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,59,Automatically detected change in data set,FYOR,No End Date
59,University Campus East,PB0001747,First York Limited,2023-12-24,2089,66_67_CB1-YFAO066_YFAO067_YFAOCB1--FYOR-York-2023-12-24-FYOR-2023-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,C2,Automatically detected change in data set,FYOR,No End Date
60,University Campus East,PB0001747,First York Limited,2023-12-24,2089,66_67_CB1-YFAO066_YFAO067_YFAOCB1--FYOR-York-2023-12-24-FYOR-2023-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,66,Automatically detected change in data set,FYOR,No End Date
61,University Campus East,PB0001747,First York Limited,2023-12-24,2089,66_67_CB1-YFAO066_YFAO067_YFAOCB1--FYOR-York-2023-12-24-FYOR-2023-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,335,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Wednesday-Sunday,67,Automatically detected change in data set,FYOR,No End Date
62,University Campus East,PB0001747,First York Limited,2023-12-31,2089,66-YFAO066--FYOR-York-2023-12-31-FYOR_2023-12-31_A-BODS_V1_1.xml,100.0,published,University Campus East/York Sport Village,https://data.bus-data.dft.gov.uk/timetable/dataset/2089/download/,YF,First Bus,336,PB0001747:54,FYOR-York,First York,true,2.4,,green,zip,True,Tuesday-Sunday,C2,Automatically detected change in data set,FYOR,No End Date
